# DOT SELECT - EVERYTHING THE TRAIN-WINDOW SCREEN CUT, WITH THE CRITERION THAT CUT IT.
# SEED=0 book_size=297
# Screened on the RAW F0 scan. The 6,488/6,034 pre-filter is deliberately NOT applied: it uses full-sample agg_pf, folds_plus and trades computed over the months the screen is meant to validate against, so layering a train-only screen on it means the population was already selected with the answer.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,reject_criterion
Micro_Entropy:hi + Session_Low_Dist_ATR:hi + ST_Flip_Event:==1,SHORT,2,2,inf,1,1,1.0,27.1,trades 2 < 12
Sqz_Val:lo + Volume_Ratio_10:hi + Micro_Lambda:lo,LONG,9,8,3.9433,4,3,0.75,254.3,trades 9 < 12
RangeOsc_Val:lo + Volume_Ratio_10:hi + MultiDay_Slope:lo,LONG,6,6,inf,4,4,1.0,236.1,trades 6 < 12
D2D_Dn_Count:hi + Micro_VolOfVol:lo + Session_Low_Dist_ATR:hi,SHORT,1,1,inf,1,1,1.0,12.5,trades 1 < 12
Micro_MomoTransfer:hi + Micro_RangeVelocity:lo + RangeOsc_State:==1,SHORT,5,5,inf,4,4,1.0,83.3,trades 5 < 12
Micro_BarEntropy:hi + PrevDay_Close_Dist_ATR:lo + VAH_Side:==0,SHORT,11,11,inf,4,4,1.0,638.8,trades 11 < 12
Bar_Range:hi + Volume_Avg_10:lo + PrevDay_Low_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Score_ST:hi + VAH_Dist_ATR:lo + D2D_DirStep:==-1,LONG,3,3,inf,3,3,1.0,82.1,trades 3 < 12
Slope_Accel_LT:lo + Micro_ThrustEff:lo + Micro_VolAccel:lo,LONG,6,6,inf,3,3,1.0,231.3,trades 6 < 12
Slope_Accel_LT:lo + MultiDay_Slope:lo + D2D_DirStep:==-1,LONG,5,5,inf,4,4,1.0,256.5,trades 5 < 12
WeeklyOpen_Dist_ATR:hi + ST_Flip_Event:==1 + PrevDay_Low_Side:==-1,LONG,7,7,inf,2,2,1.0,161.4,trades 7 < 12
Slope_Accel_LT:lo + OR_Low_Dist_ATR:hi + Session_High_Dist_ATR:lo,LONG,12,11,2.2246,2,2,1.0,219.2,buckets_present 2 < 3
OBV_Macd:lo + Momentum_Value:lo + RangeOsc_State:==-1,LONG,14,12,1.2439,4,2,0.5,57.7,train_PF 1.2439 < 2.0
AT_Score_ST:lo + PrevDay_High_Dist_ATR:lo + VAL_Side:==0,SHORT,8,8,inf,4,4,1.0,229.3,trades 8 < 12
KAMA_Slope:hi + Micro_Rejection:hi + MultiDay_Position:lo,SHORT,8,8,inf,3,3,1.0,212.4,trades 8 < 12
KAMA_Slope:lo + MultiDay_Slope:lo + ADX_Rising:==0,LONG,6,6,inf,4,4,1.0,225.3,trades 6 < 12
