# DOT SELECT - PROVENANCE OF THE ADMITTED SIGNALS. NOT A SCORE AND NOT A RANKING.
# SEED=0 book_size=297 config=whole_dot_config.json sha=9bd88c5a9edd
# Every column here records WHY a signal was ADMITTED by the train-window screen. NOTHING IN THIS FILE ORDERS SIGNALS BY QUALITY: a rebuilt ranking selector lost to 12 of 12 random draws on a holdout, 297 leave-one-out runs gave split-half rho -0.060 at p=0.305, and d_events moved by zero for 212 of 297. The book is homogeneous - there is nothing to prune and nothing to rank.
# Membership is a SEEDED DRAW at a config size, which is a SIZE PARAMETER, not a ranking. The arm is reproducible from SEED and book_size alone.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,SEED,book_size,PASS_trades,PASS_train_PF,PASS_buckets,PASS_bucket_frac
ATR_1M:hi + AT_Score_LT:hi + MultiDay_Slope:lo,LONG,31,27,3.2343,5,4,0.8,721.9,0,297,PASS,PASS,PASS,PASS
ATR_1M:hi + Harmonic_LLEMA:hi + MultiDay_Position:lo,SHORT,22,22,inf,5,5,1.0,471.1,0,297,PASS,PASS,PASS,PASS
ATR_1M:hi + RangeOsc_Val:lo + Micro_MomoTransfer:lo,LONG,29,28,9.6278,6,6,1.0,695.4,0,297,PASS,PASS,PASS,PASS
AT_Lookback_LT:hi + Micro_Amihud:hi + Micro_WickImbalance:lo,LONG,35,32,3.6724,5,5,1.0,1331.4,0,297,PASS,PASS,PASS,PASS
AT_Lookback_LT:hi + Micro_CSSpread:lo + Session_High_Dist_ATR:lo,SHORT,17,15,4.5622,4,3,0.75,420.7,0,297,PASS,PASS,PASS,PASS
AT_Lookback_ST:hi + KAMA_Dist:lo + AT_Regime_ST:==1,LONG,14,14,inf,5,5,1.0,633.9,0,297,PASS,PASS,PASS,PASS
AT_Lookback_ST:hi + Sqz_Val:hi + Micro_TickIntensity:hi,SHORT,52,48,4.0316,6,6,1.0,834.9,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:hi + Micro_PriceAccel:hi + OR_High_Side:==-1,SHORT,18,18,inf,5,5,1.0,534.7,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:hi + Micro_RollProxy:hi + TChan_A15:hi,SHORT,22,20,3.1524,5,4,0.8,370.0,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:hi + Micro_VolAccel:hi + PrevDay_Close_Dist_ATR:lo,SHORT,15,14,5.8306,4,4,1.0,527.5,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:hi + Volume_Ratio_10:hi + Volume:hi,SHORT,35,31,2.5802,6,5,0.8333,741.9,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + Bars_Since_Flip:hi + Micro_FailedBreak:lo,LONG,20,17,3.89,4,3,0.75,528.3,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + Micro_CSSpread:hi + OR_Position:lo,SHORT,22,21,13.3266,4,4,1.0,671.8,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + Micro_FailedBreak:lo + Micro_WickImbalance:hi,LONG,16,14,4.4765,3,2,0.6667,421.0,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + Micro_MicroGap:lo + Sqz_State:==-1,LONG,27,25,3.7359,3,3,1.0,828.7,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + RangeOsc_Val:lo + Upper_Wick:hi,LONG,15,14,7.4627,4,4,1.0,988.8,0,297,PASS,PASS,PASS,PASS
AT_Score_LT:lo + Slope_Accel_LT:hi + Micro_Hurst:lo,LONG,13,11,2.7805,3,2,0.6667,481.8,0,297,PASS,PASS,PASS,PASS
AT_Score_ST:hi + Session_Low_Dist_ATR:lo + TChan_A15:hi,LONG,19,17,5.3824,6,6,1.0,767.8,0,297,PASS,PASS,PASS,PASS
AT_Score_ST:hi + Volume_Ratio_10:hi + DailyOpen_Side:==1,SHORT,17,15,4.7629,5,5,1.0,541.1,0,297,PASS,PASS,PASS,PASS
AT_Score_ST:lo + Micro_VolOfVol:hi + VAL_Dist_ATR:lo,LONG,16,15,3.5805,5,4,0.8,493.4,0,297,PASS,PASS,PASS,PASS
AT_Slope_LT:lo + Micro_HLAsymmetry:hi + D2D_DirStep:==-1,LONG,22,22,inf,6,6,1.0,763.9,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:hi + Dist_To_PoC_ATR:lo + Micro_VolOfVol:lo,LONG,18,16,4.6568,6,5,0.8333,763.9,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:hi + OR_High_Dist_ATR:hi + VWAP_Sigma:hi,SHORT,28,23,2.4933,4,4,1.0,567.3,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + KAMA_Dist:hi + RangeOsc_State:==-1,LONG,23,20,2.9308,6,5,0.8333,569.2,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + KAMA_Dist:hi + VWAP_Sigma_ATR:lo,LONG,31,28,4.1705,5,4,0.8,1491.1,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + Micro_Amihud:lo + Micro_Rejection:lo,LONG,24,22,9.0561,5,5,1.0,962.7,0,297,PASS,PASS,PASS,PASS
