trigger,direction,signal_def
F0,LONG,ATR_1M:hi + AT_Score_LT:hi + MultiDay_Slope:lo
F0,SHORT,ATR_1M:hi + Harmonic_LLEMA:hi + MultiDay_Position:lo
F0,LONG,ATR_1M:hi + RangeOsc_Val:lo + Micro_MomoTransfer:lo
F0,LONG,AT_Lookback_LT:hi + Micro_Amihud:hi + Micro_WickImbalance:lo
F0,SHORT,AT_Lookback_LT:hi + Micro_CSSpread:lo + Session_High_Dist_ATR:lo
F0,LONG,AT_Lookback_ST:hi + KAMA_Dist:lo + AT_Regime_ST:==1
F0,SHORT,AT_Lookback_ST:hi + Sqz_Val:hi + Micro_TickIntensity:hi
F0,SHORT,AT_Score_LT:hi + Micro_PriceAccel:hi + OR_High_Side:==-1
F0,SHORT,AT_Score_LT:hi + Micro_RollProxy:hi + TChan_A15:hi
F0,SHORT,AT_Score_LT:hi + Micro_VolAccel:hi + PrevDay_Close_Dist_ATR:lo
F0,SHORT,AT_Score_LT:hi + Volume_Ratio_10:hi + Volume:hi
F0,LONG,AT_Score_LT:lo + Bars_Since_Flip:hi + Micro_FailedBreak:lo
F0,SHORT,AT_Score_LT:lo + Micro_CSSpread:hi + OR_Position:lo
F0,LONG,AT_Score_LT:lo + Micro_FailedBreak:lo + Micro_WickImbalance:hi
F0,LONG,AT_Score_LT:lo + Micro_MicroGap:lo + Sqz_State:==-1
F0,LONG,AT_Score_LT:lo + RangeOsc_Val:lo + Upper_Wick:hi
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Micro_Hurst:lo
F0,LONG,AT_Score_ST:hi + Session_Low_Dist_ATR:lo + TChan_A15:hi
F0,SHORT,AT_Score_ST:hi + Volume_Ratio_10:hi + DailyOpen_Side:==1
F0,LONG,AT_Score_ST:lo + Micro_VolOfVol:hi + VAL_Dist_ATR:lo
F0,LONG,AT_Slope_LT:lo + Micro_HLAsymmetry:hi + D2D_DirStep:==-1
F0,LONG,AT_Slope_ST:hi + Dist_To_PoC_ATR:lo + Micro_VolOfVol:lo
F0,SHORT,AT_Slope_ST:hi + OR_High_Dist_ATR:hi + VWAP_Sigma:hi
F0,LONG,AT_Slope_ST:lo + KAMA_Dist:hi + RangeOsc_State:==-1
F0,LONG,AT_Slope_ST:lo + KAMA_Dist:hi + VWAP_Sigma_ATR:lo
F0,LONG,AT_Slope_ST:lo + Micro_Amihud:lo + Micro_Rejection:lo
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_HLAsymmetry:hi
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + OR_Low_Dist_ATR:hi
F0,LONG,AT_Slope_ST:lo + Micro_HLAsymmetry:hi + Micro_RangeAccel:lo
F0,LONG,AT_Slope_ST:lo + Micro_HLAsymmetry:lo + Micro_Rejection:lo
F0,LONG,AT_Slope_ST:lo + Micro_MomoTransfer:hi + VWAP_Sigma_ATR:lo
F0,LONG,AT_Slope_ST:lo + Micro_OrderFlowDelta:lo + RangeOsc_State:==2
F0,LONG,AT_Slope_ST:lo + Micro_PriceAccel:lo + Micro_TickIntensity:lo
F0,LONG,AT_Slope_ST:lo + Micro_RangeVelocity:hi + OR_Low_Side:==-1
F0,LONG,AT_Slope_ST:lo + Micro_RangeVelocity:hi + Round_100_Dist_ATR:lo
F0,LONG,AT_Slope_ST:lo + Micro_ThrustEff:hi + Sqz_State:==1
F0,LONG,AT_Slope_ST:lo + OBV_Macd:lo + Micro_BarOverlap:hi
F0,SHORT,AT_Slope_ST:lo + OBV_Velocity:hi + Micro_Amihud:lo
F0,LONG,AT_Slope_ST:lo + OBV_Velocity:hi + Micro_RollProxy:hi
F0,LONG,AT_Slope_ST:lo + OBVf_Signal:==-1 + RangeOsc_State:==-1
F0,SHORT,AT_Slope_ST:lo + Slope_Accel_ST:hi + ADX_Value:lo
F0,LONG,AT_Slope_ST:lo + VAH_Dist_ATR:lo + Upper_Wick:hi
F0,LONG,AT_Slope_ST:lo + VWAP_Side:==1 + WeeklyOpen_Side:==-1
F0,LONG,AT_Slope_ST:lo + WeeklyOpen_Dist_ATR:lo + Harmonic_D2D_Concordance:==0
F0,LONG,Bar_Range:hi + KAMA_Dist:lo + AT_Regime_ST:==1
F0,LONG,Bar_Range:hi + Micro_VolAccel:lo + ST_Flip_Event:==1
F0,SHORT,Bar_Range:hi + Session_High_Dist_ATR:lo + Body_Size:lo
F0,LONG,Bar_Range:hi + Sqz_Val:lo + Micro_Lambda:lo
F0,LONG,Bars_Since_Flip:hi + Micro_FailedBreak:lo + Session_Low_Dist_ATR:lo
F0,LONG,Bars_Since_Flip:hi + Micro_MicroGap:hi + MultiDay_Position:lo
F0,LONG,Bars_Since_Flip:hi + Micro_PriceAccel:lo + Session_Low_Dist_ATR:lo
F0,LONG,Bars_Since_Flip:hi + Momentum_Value:lo + OBVf_Signal:==1
F0,LONG,Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + Volume:hi
F0,LONG,Bars_Since_Flip:hi + Slope_EMA_ST:hi + VWAP_Side:==-1
F0,LONG,Bars_Since_Flip:hi + TChan_A15:hi + VWAP_Side:==-1
F0,LONG,Bars_Since_Flip:hi + VA_Position:hi + OR_Low_Side:==-1
F0,LONG,Bars_Since_Flip:hi + VWAP_Sigma_ATR:lo + TChan_A15:hi
F0,LONG,Bars_Since_Flip:lo + Slope_Accel_LT:hi + PrevDay_High_Dist_ATR:hi
F0,LONG,D2D_ATR:hi + AT_Score_LT:hi + Lower_Wick:lo
F0,SHORT,D2D_ATR:hi + AT_Slope_ST:hi + Session_High_Dist_ATR:hi
F0,LONG,D2D_ATR:hi + RangeOsc_Val:lo + Micro_TickIntensity:hi
F0,LONG,D2D_ATR_MA:hi + DailyOpen_Dist_ATR:lo + ST_Flip_Event:==-1
F0,LONG,D2D_ATR_MA:hi + KAMA_Dist_ATR:hi + Session_Low_Dist_ATR:lo
F0,LONG,D2D_ATR_MA:hi + OBV_Macd:lo + Micro_Hurst:hi
F0,SHORT,D2D_Dn_Count:hi + EMA_Oscillator:lo + Micro_WickImbalance:lo
F0,SHORT,D2D_Dn_Count:hi + Micro_CSSpread:lo + OR_Position:lo
F0,SHORT,D2D_Dn_Count:hi + Volume_Avg_10:hi + Micro_VPIN:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Micro_GarmanKlass:hi + Micro_TickIntensity:hi
F0,LONG,D2D_Dynamic_Sensitivity:lo + Micro_MomoTransfer:hi + TChan_A15:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Micro_ThrustEff:lo + Micro_WickImbalance:lo
F0,LONG,D2D_Dynamic_Sensitivity:lo + Micro_VolAccel:lo + OR_Low_Side:==-1
F0,LONG,D2D_Dynamic_Sensitivity:lo + Momentum_Value:lo + D2D_DirStep:==-1
F0,LONG,D2D_Dynamic_Sensitivity:lo + Slope_Accel_ST:lo + OR_Low_Side:==-1
F0,SHORT,D2D_Persist:hi + Micro_Amihud:lo + Micro_OrderFlowDelta:lo
F0,SHORT,D2D_Persist:hi + Micro_IBSP:lo + Harmonic_OBVf_Concordance:==0
F0,SHORT,D2D_Persist:hi + Micro_RangeVelocity:hi + OR_Low_Side:==1
F0,LONG,D2D_Up_Count:hi + AT_Lookback_LT:hi + VWAP_Side:==-1
F0,LONG,D2D_Up_Count:hi + AT_Slope_ST:lo + Harmonic_OBVf_Concordance:==0
F0,LONG,D2D_Up_Count:hi + Micro_CSSpread:lo + Round_1000_Dist_ATR:lo
F0,LONG,D2D_Up_Count:hi + Micro_RangeAccel:lo + Upper_Wick:hi
F0,LONG,D2D_Up_Count:hi + PrevDay_High_Dist_ATR:lo + VWAP_Sigma:hi
F0,LONG,EMA_Oscillator:hi + Micro_Hurst:hi + AT_Regime_ST:==1
F0,LONG,EMA_Oscillator:hi + Momentum_Value:lo + VWAP_Sigma:hi
F0,SHORT,EMA_Oscillator:lo + Momentum_Value:hi + Micro_FailedBreak:hi
F0,SHORT,Efficiency_Ratio:hi + Micro_WickImbalance:lo + VAL_Side:==-1
F0,LONG,Efficiency_Ratio:hi + Upper_Wick:hi + D2D_Signal:==1
F0,LONG,Harmonic_LLEMA:hi + Micro_OrderFlowDelta:lo + RangeOsc_State:==-2
F0,SHORT,Harmonic_OBVf_Concordance:==1 + VAH_Side:==0 + PrevDay_Low_Side:==1
F0,SHORT,KAMA_Dist:hi + Micro_Hurst:hi + Lower_Wick:hi
F0,SHORT,KAMA_Dist:hi + Micro_IBSP:hi + DailyOpen_Side:==-1
F0,SHORT,KAMA_Dist:hi + Micro_LogReturn:lo + TChan_A15:hi
F0,LONG,KAMA_Dist:hi + MultiDay_Position:lo + ST_Flip_Event:==-1
F0,LONG,KAMA_Dist:hi + RangeOsc_Val:lo + MultiDay_Position:lo
F0,LONG,KAMA_Dist:hi + ST_Flip_Event:==-1 + DailyOpen_Side:==-1
F0,LONG,KAMA_Dist:lo + ADX_Value:lo + Volume:hi
F0,LONG,KAMA_Dist:lo + Micro_RangeAccel:lo + MultiDay_Position:lo
F0,LONG,KAMA_Dist:lo + Micro_Rejection:hi + Volume:hi
F0,LONG,KAMA_Dist:lo + Micro_VPIN:lo + WeeklyOpen_Dist_ATR:lo
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Harmonic_OBVf_Concordance:==0
F0,LONG,KAMA_Dist:lo + VWAP_Dist_ATR:lo + Sqz_State:==1
F0,LONG,KAMA_Dist:lo + VWAP_Sigma:hi + AT_Regime_ST:==1
F0,SHORT,KAMA_Dist_ATR:hi + D2D_DirStep:==1 + OR_High_Side:==-1
F0,LONG,KAMA_Dist_ATR:hi + EMA_Oscillator:hi + Session_Low_Dist_ATR:lo
F0,LONG,KAMA_Dist_ATR:hi + Micro_FractalDim:lo + Session_Low_Dist_ATR:lo
